"","subNr","age","gender","hand","iBlock","iTrial","cTarLoc","cTarSymNr","correct","response_time_search_resp"
"333",28685,20,0,1,4,20,7,1,1,1991
"334",28685,20,0,1,4,21,6,0,0,2595
"335",28685,20,0,1,4,22,2,1,1,899
"336",28685,20,0,1,4,23,7,0,1,2536
"337",28685,20,0,1,4,24,6,1,1,2459
"338",28685,20,0,1,4,25,2,0,1,1125
"339",28685,20,0,1,4,26,7,1,1,2279
"340",28685,20,0,1,4,27,7,0,1,1098
"341",28685,20,0,1,4,28,4,0,1,2545
"342",28685,20,0,1,4,29,0,0,1,1358
"343",28685,20,0,1,4,30,6,0,0,3016
"344",28685,20,0,1,4,31,2,1,0,1405
"345",28685,20,0,1,4,32,5,1,1,1590
"346",28685,20,0,1,4,33,1,0,1,2393
"347",28685,20,0,1,4,34,1,0,1,1505
"348",28685,20,0,1,4,35,1,0,1,1236
"349",28685,20,0,1,4,36,7,0,1,2659
"350",28685,20,0,1,4,37,1,0,1,2045
"351",28685,20,0,1,4,38,5,1,1,2347
"352",28685,20,0,1,4,39,5,1,1,1185
"353",28685,20,0,1,4,40,3,0,1,2652
"354",28685,20,0,1,4,41,4,1,1,1257
"355",28685,20,0,1,4,42,0,1,1,1990
"356",28685,20,0,1,4,43,6,1,0,2048
"357",28685,20,0,1,4,44,2,0,0,3013
"358",28685,20,0,1,4,45,3,1,1,1850
"359",28685,20,0,1,4,46,1,1,1,2160
"360",28685,20,0,1,4,47,1,1,1,967
"361",28685,20,0,1,4,48,6,1,1,2536
"362",28685,20,0,1,4,49,2,0,1,2738
"363",28685,20,0,1,4,50,7,1,1,2371
"364",28685,20,0,1,4,51,4,0,1,2425
"365",28685,20,0,1,4,52,0,1,1,2129
"366",28685,20,0,1,4,53,1,1,1,2613
"367",28685,20,0,1,4,54,6,0,0,2044
"368",28685,20,0,1,4,55,2,1,1,1847
"369",28685,20,0,1,4,56,3,1,1,1105
"370",28685,20,0,1,4,57,7,1,0,1921
"371",28685,20,0,1,4,58,5,0,1,2561
"372",28685,20,0,1,4,59,4,0,1,2305
"373",28685,20,0,1,4,60,0,0,0,1907
"374",28685,20,0,1,4,61,5,0,1,1484
"375",28685,20,0,1,4,62,3,1,1,1846
"376",28685,20,0,1,4,63,5,0,1,1332
"377",28685,20,0,1,5,0,6,0,1,2273
"378",28685,20,0,1,5,1,2,1,1,2621
"379",28685,20,0,1,5,2,4,0,1,1341
"380",28685,20,0,1,5,3,0,1,1,2434
"381",28685,20,0,1,5,4,7,0,1,1882
"382",28685,20,0,1,5,5,1,0,1,2101
"383",28685,20,0,1,5,6,1,1,1,1148
"384",28685,20,0,1,5,7,1,1,0,1911
"385",28685,20,0,1,5,8,6,0,1,2432
"386",28685,20,0,1,5,9,2,1,1,1526
"387",28685,20,0,1,5,10,4,1,1,742
"388",28685,20,0,1,5,11,0,1,1,1994
"389",28685,20,0,1,5,12,6,1,1,2582
"390",28685,20,0,1,5,13,2,0,0,2166
"391",28685,20,0,1,5,14,3,1,1,1966
"392",28685,20,0,1,5,15,5,0,1,2260
"393",28685,20,0,1,5,16,6,1,1,1626
"394",28685,20,0,1,5,17,2,1,1,2197
"395",28685,20,0,1,5,18,5,1,1,1869
"396",28685,20,0,1,5,19,7,0,1,1293
"397",28685,20,0,1,5,20,1,1,1,1501
"398",28685,20,0,1,5,21,3,0,1,1584
"399",28685,20,0,1,5,22,3,1,1,896
"400",28685,20,0,1,5,23,7,1,1,1788
"401",28685,20,0,1,5,24,4,0,1,847
"402",28685,20,0,1,5,25,0,0,1,1879
"403",28685,20,0,1,5,26,1,1,1,2413
"404",28685,20,0,1,5,27,3,0,1,2355
"405",28685,20,0,1,5,28,3,0,0,2056
"406",28685,20,0,1,5,29,7,1,1,2202
"407",28685,20,0,1,5,30,4,1,1,809
"408",28685,20,0,1,5,31,0,1,1,1886
"409",28685,20,0,1,5,32,5,1,1,2143
"410",28685,20,0,1,5,33,6,1,1,1821
"411",28685,20,0,1,5,34,2,0,1,2335
"412",28685,20,0,1,5,35,5,0,1,1173
"413",28685,20,0,1,5,36,5,0,1,793
"414",28685,20,0,1,5,37,5,1,1,702
"415",28685,20,0,1,5,38,7,0,1,1763
"416",28685,20,0,1,5,39,7,1,1,939
"417",28685,20,0,1,5,40,4,1,1,1183
"418",28685,20,0,1,5,41,0,0,1,1228
"419",28685,20,0,1,5,42,3,1,1,2242
"420",28685,20,0,1,5,43,4,0,1,815
"421",28685,20,0,1,5,44,0,1,1,2056
"422",28685,20,0,1,5,45,7,0,1,917
"423",28685,20,0,1,5,46,5,1,1,1408
"424",28685,20,0,1,5,47,6,0,1,884
"425",28685,20,0,1,5,48,2,0,1,1278
"426",28685,20,0,1,5,49,4,1,1,782
"427",28685,20,0,1,5,50,0,0,1,1773
"428",28685,20,0,1,5,51,7,1,1,1367
"429",28685,20,0,1,5,52,1,0,1,1556
"430",28685,20,0,1,5,53,6,1,1,1212
"431",28685,20,0,1,5,54,2,0,1,1885
"432",28685,20,0,1,5,55,5,0,1,1823
"433",28685,20,0,1,5,56,1,0,1,2222
"434",28685,20,0,1,5,57,3,1,1,1706
"435",28685,20,0,1,5,58,1,0,1,1388
"436",28685,20,0,1,5,59,4,0,1,1707
"437",28685,20,0,1,5,60,0,0,1,1663
"438",28685,20,0,1,5,61,3,0,1,1213
"439",28685,20,0,1,5,62,6,0,0,991
"440",28685,20,0,1,5,63,2,1,1,2304
"441",28685,20,0,1,6,0,1,1,1,1276
"442",28685,20,0,1,6,1,1,0,1,1525
"443",28685,20,0,1,6,2,5,0,1,1281
"444",28685,20,0,1,6,3,6,1,1,1929
"445",28685,20,0,1,6,4,2,0,1,1245
"446",28685,20,0,1,6,5,4,1,1,1102
"447",28685,20,0,1,6,6,0,1,0,2142
"448",28685,20,0,1,6,7,5,1,1,1644
"449",28685,20,0,1,6,8,4,1,1,1483
"450",28685,20,0,1,6,9,0,0,1,975
"451",28685,20,0,1,6,10,6,0,1,2644
"452",28685,20,0,1,6,11,2,1,0,2325
"453",28685,20,0,1,6,12,7,1,1,1596
"454",28685,20,0,1,6,13,7,1,1,1087
"455",28685,20,0,1,6,14,1,0,1,2310
"456",28685,20,0,1,6,15,5,0,1,1771
"457",28685,20,0,1,6,16,6,1,1,1247
"458",28685,20,0,1,6,17,2,0,1,1423
"459",28685,20,0,1,6,18,4,0,1,2547
"460",28685,20,0,1,6,19,0,1,1,1559
"461",28685,20,0,1,6,20,3,0,1,2046
"462",28685,20,0,1,6,21,7,1,1,1418
"463",28685,20,0,1,6,22,3,1,1,1262
"464",28685,20,0,1,6,23,5,0,1,1134
"465",28685,20,0,1,6,24,5,1,0,812
"466",28685,20,0,1,6,25,6,0,1,1998
"467",28685,20,0,1,6,26,2,0,1,1800
"468",28685,20,0,1,6,27,3,0,1,2396
"469",28685,20,0,1,6,28,6,1,1,1978
"470",28685,20,0,1,6,29,2,1,1,1243
"471",28685,20,0,1,6,30,3,1,1,1140
"472",28685,20,0,1,6,31,7,0,1,1038
"473",28685,20,0,1,6,32,4,0,1,1125
"474",28685,20,0,1,6,33,0,0,1,1534
"475",28685,20,0,1,6,34,5,1,1,885
"476",28685,20,0,1,6,35,1,0,1,966
"477",28685,20,0,1,6,36,6,0,1,1847
"478",28685,20,0,1,6,37,2,1,1,1374
"479",28685,20,0,1,6,38,4,1,1,878
"480",28685,20,0,1,6,39,0,1,1,1528
"481",28685,20,0,1,6,40,3,1,1,1123
"482",28685,20,0,1,6,41,6,1,1,1192
"483",28685,20,0,1,6,42,2,1,1,2578
"484",28685,20,0,1,6,43,4,0,1,748
"485",28685,20,0,1,6,44,0,0,1,1476
"486",28685,20,0,1,6,45,1,0,1,1028
"487",28685,20,0,1,6,46,3,0,1,2380
"488",28685,20,0,1,6,47,5,1,1,1347
"489",28685,20,0,1,6,48,7,0,1,1435
"490",28685,20,0,1,6,49,5,0,1,2292
"491",28685,20,0,1,6,50,1,1,1,1525
"492",28685,20,0,1,6,51,4,0,1,731
"493",28685,20,0,1,6,52,0,0,1,1248
